time_step,veh_id,x_pos,y_pos,speed,yaw
0.000000000000000000e+00,0.000000000000000000e+00,6.116000000000001080e+01,5.310000000000002274e+00,2.300001956520906887e+01,1.304347086381950176e-03
0.000000000000000000e+00,1.000000000000000000e+00,6.017000000000000171e+01,9.740000000000001990e+00,2.316005397230325968e+01,2.158891291873158910e-03
0.000000000000000000e+00,2.000000000000000000e+00,3.646999999999999886e+01,5.350000000000001421e+00,2.205003628114928915e+01,-1.814056967012304521e-03
0.000000000000000000e+00,3.000000000000000000e+00,1.355999999999999872e+01,5.350000000000001421e+00,2.203003631408718377e+01,1.815703860323054659e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,9.260000000000001563e+00,2.441000819336200323e+01,8.193361542231971913e-04
1.000000000000000000e+00,1.000000000000000000e+00,6.109275093228606579e+01,9.703838480893134388e+00,2.308648060146509451e+01,-3.916877570551406673e-02
1.000000000000000000e+00,2.000000000000000000e+00,3.734287715583772638e+01,5.328919427787535135e+00,2.182829184378852716e+01,-2.414598097206630337e-02
1.000000000000000000e+00,3.000000000000000000e+00,1.442861465411359490e+01,5.315340992671621301e+00,2.173264629724529584e+01,-3.988032075995200099e-02
1.000000000000000000e+00,4.000000000000000000e+00,5.974708204265576583e+00,9.301252646274697611e+00,2.438951957664514225e+01,4.229782961547137732e-02
2.000000000000000000e+00,1.000000000000000000e+00,6.201093206992383244e+01,9.629760714994462845e+00,2.302911359717188944e+01,-8.050444716645266396e-02
2.000000000000000000e+00,2.000000000000000000e+00,3.820658532961748222e+01,5.290479526749782835e+00,2.161407867926826398e+01,-4.447630847192497738e-02
2.000000000000000000e+00,3.000000000000000000e+00,1.528322301674891115e+01,5.245486530370431666e+00,2.143646279399898802e+01,-8.155725550863823781e-02
2.000000000000000000e+00,4.000000000000000000e+00,6.946421884361783761e+00,9.382813842775066249e+00,2.437826522823000630e+01,8.373913702552365779e-02
3.000000000000000000e+00,1.000000000000000000e+00,6.292357231879277890e+01,9.518017850396818247e+00,2.298639124085246266e+01,-1.218327183685121995e-01
3.000000000000000000e+00,2.000000000000000000e+00,3.906127561553073235e+01,5.236266547750060951e+00,2.141019809469451829e+01,-6.334510731359145608e-02
3.000000000000000000e+00,3.000000000000000000e+00,1.612245817691232830e+01,5.141571301588529153e+00,2.114110375588444057e+01,-1.231943077555248539e-01
3.000000000000000000e+00,4.000000000000000000e+00,7.913731553540690911e+00,9.504487498791910127e+00,2.437330089790249588e+01,1.251284628600489446e-01
4.000000000000000000e+00,1.000000000000000000e+00,6.382974515309772556e+01,9.368845871866994912e+00,2.295922315773605149e+01,-1.631543108619005200e-01
